County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Hart County,1,100.00,0.00,0.00,0.00,0.00,0.00,4.80,91.80,1.70,0.20,0.30
Hartford County,8,71.43,25.00,50.00,25.00,0.00,0.00,15.20,63.40,17.00,0.50,5.10
Harvey County,3,100.00,66.67,33.33,0.00,0.00,0.00,1.90,83.60,11.50,0.90,0.90
Hawaii County,7,100.00,0.00,0.00,14.29,0.00,14.29,0.90,30.60,12.30,0.60,22.00
Hawkins County,3,100.00,50.00,0.00,50.00,0.00,0.00,1.50,95.30,1.40,0.30,0.50
Hays County,4,100.00,0.00,0.00,100.00,0.00,0.00,4.10,56.20,37.00,1.20,1.50
Haywood County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.20,93.20,3.70,0.60,0.50
Heard County,1,100.00,0.00,0.00,100.00,0.00,0.00,10.70,84.40,2.50,0.40,0.60
Henderson County,4,100.00,25.00,0.00,75.00,0.00,0.00,3.40,83.90,9.90,0.70,1.10
Henderson County,1,0.00,100.00,0.00,0.00,0.00,0.00,8.10,87.40,2.30,0.30,0.40
Henderson County,1,100.00,0.00,0.00,0.00,0.00,0.00,6.70,79.10,12.00,0.80,0.70
Hendricks County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.00,86.40,3.50,0.30,2.50
Hennepin County,17,75.00,41.18,11.76,41.18,0.00,5.88,12.60,70.30,6.80,1.20,7.20
Henry County,1,100.00,100.00,0.00,0.00,0.00,0.00,27.30,68.40,2.60,0.30,0.70
Henry County,6,100.00,50.00,0.00,50.00,0.00,0.00,40.60,48.60,6.40,0.30,3.40
Henry County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,91.00,5.40,0.30,0.50
Henry County,4,100.00,0.00,0.00,100.00,0.00,0.00,2.70,93.90,1.60,0.20,0.40
Henry County,1,100.00,100.00,0.00,0.00,0.00,0.00,1.40,93.90,2.10,0.60,0.40
Henry County,1,100.00,100.00,0.00,0.00,0.00,0.00,22.00,70.50,5.40,0.30,0.60
Hernando County,6,100.00,0.00,0.00,100.00,0.00,0.00,5.70,80.20,11.60,0.50,1.40
Hertford County,1,100.00,0.00,0.00,100.00,0.00,0.00,59.80,33.90,3.80,1.70,0.80
Hickman County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.10,90.80,2.10,0.50,0.30
Hidalgo County,11,100.00,0.00,88.89,11.11,0.00,0.00,0.90,7.10,91.20,0.50,1.10
Highlands County,3,100.00,0.00,0.00,100.00,0.00,0.00,10.60,68.70,18.40,0.60,1.50
Hillsborough County,22,85.71,31.82,22.73,31.82,0.00,4.55,17.50,51.60,26.50,0.60,4.00
Hillsborough County,4,100.00,0.00,0.00,100.00,0.00,0.00,2.60,86.40,6.00,0.30,3.80
Hinds County,7,100.00,83.33,0.00,0.00,0.00,16.67,70.80,26.20,1.60,0.20,0.80
Hockley County,1,100.00,0.00,100.00,0.00,0.00,0.00,4.40,48.00,46.70,1.50,0.50
Holmes County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.80,87.00,2.70,0.90,0.70
Honolulu County,18,86.67,0.00,5.56,11.11,0.00,61.11,3.10,19.60,9.50,0.40,42.40
Hopewell County,2,100.00,50.00,0.00,50.00,0.00,0.00,39.40,50.40,7.20,0.60,1.10
Hopkins County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.70,88.90,1.80,0.20,0.60
Hopkins County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.50,74.20,16.20,1.00,0.70
Horry County,9,100.00,12.50,0.00,87.50,0.00,0.00,13.70,77.20,6.10,0.60,1.20
Houston County,2,100.00,0.00,0.00,100.00,0.00,0.00,30.30,58.30,6.60,0.40,2.80
Howard County,2,100.00,0.00,0.00,100.00,0.00,0.00,7.30,86.00,3.10,0.40,1.10
Howard County,3,66.67,33.33,33.33,33.33,0.00,0.00,18.60,55.40,6.40,0.40,16.90
Hudson County,4,100.00,50.00,25.00,25.00,0.00,0.00,15.10,29.30,43.10,1.20,15.20
Hudspeth County,1,100.00,100.00,0.00,0.00,0.00,0.00,1.80,19.10,78.20,1.40,1.10
Hughes County,1,0.00,0.00,0.00,0.00,0.00,0.00,5.80,64.50,4.70,19.30,0.30
Humboldt County,4,100.00,25.00,0.00,75.00,0.00,0.00,1.40,75.50,10.80,6.20,2.80
Humboldt County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,94.10,4.00,0.20,0.40
Humphreys County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.70,93.20,2.00,0.60,0.30
Hunt County,2,50.00,100.00,0.00,0.00,0.00,0.00,8.40,73.40,14.90,1.10,1.40
Huntingdon County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.60,91.20,1.80,0.10,0.50
Huntington County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.60,95.40,2.10,0.50,0.60
Huron County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.50,95.70,2.10,0.40,0.50
Hutchinson County,1,100.00,0.00,100.00,0.00,0.00,0.00,3.00,71.40,22.30,2.10,0.60
Iberia Parish County,2,100.00,0.00,0.00,50.00,0.00,50.00,32.20,59.50,3.90,0.60,3.10
Iberville Parish County,1,100.00,0.00,0.00,100.00,0.00,0.00,49.00,47.60,2.60,0.20,0.50
Imperial County,4,100.00,0.00,100.00,0.00,0.00,0.00,3.50,12.30,82.30,2.60,2.30
Independence County,2,100.00,0.00,0.00,0.00,0.00,0.00,2.30,89.30,5.90,0.70,0.80
Indian River County,4,75.00,25.00,0.00,75.00,0.00,0.00,9.40,76.30,11.90,0.50,1.50
Ingham County,2,100.00,50.00,0.00,50.00,0.00,0.00,12.20,71.10,7.60,0.70,6.10
Iowa County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,95.70,2.50,0.20,0.40
Iredell County,4,100.00,0.00,0.00,100.00,0.00,0.00,12.20,76.80,7.30,0.50,2.40
Iron County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.70,86.30,8.30,2.50,1.00
Isanti County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.80,94.50,1.80,0.60,0.90
Island County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.90,80.60,7.10,1.10,4.80
Itasca County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,92.10,1.30,3.80,0.40
Jackson County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,89.40,2.90,1.60,0.50
Jackson County,2,100.00,0.00,0.00,100.00,0.00,0.00,27.00,65.70,4.80,0.80,0.60
Jackson County,1,0.00,0.00,0.00,100.00,0.00,0.00,7.20,82.70,6.70,0.40,1.90
Jackson County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.00,90.10,6.40,0.30,1.30
Jackson County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,98.10,0.70,0.20,0.10
Jackson County,2,100.00,50.00,50.00,0.00,0.00,0.00,8.30,85.00,3.40,0.40,0.90
Jackson County,41,94.87,48.65,8.11,40.54,0.00,2.70,24.00,62.90,8.80,0.60,1.80
Jackson County,5,80.00,40.00,0.00,60.00,0.00,0.00,22.10,68.50,5.50,0.40,2.30
Jackson County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,96.20,1.00,0.40,0.40
Jackson County,6,100.00,0.00,0.00,100.00,0.00,0.00,0.80,82.10,12.00,1.50,1.40
Jackson County,2,100.00,0.00,0.00,50.00,50.00,0.00,2.20,86.30,3.30,7.10,0.40
Jasper County,1,100.00,0.00,0.00,100.00,0.00,0.00,21.50,72.50,4.20,0.60,0.30
Jasper County,3,66.67,0.00,0.00,100.00,0.00,0.00,2.40,84.90,7.50,1.80,1.10
Jasper County,2,100.00,50.00,50.00,0.00,0.00,0.00,44.10,41.00,13.90,0.70,0.80
Jay County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,95.30,3.00,0.20,0.50
Jefferson Parish County,12,100.00,90.00,0.00,10.00,0.00,0.00,27.20,54.10,13.80,0.60,4.20
Jefferson County,19,100.00,44.44,0.00,55.56,0.00,0.00,42.90,50.80,3.80,0.30,1.60
Jefferson County,3,100.00,100.00,0.00,0.00,0.00,0.00,55.50,40.30,1.90,0.40,0.90
Jefferson County,18,100.00,0.00,29.41,70.59,0.00,0.00,1.30,78.80,15.20,1.20,2.80
Jefferson County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.40,87.20,10.30,1.30,0.50
Jefferson County,1,0.00,0.00,0.00,100.00,0.00,0.00,2.00,93.40,2.50,0.30,0.80
Jefferson County,24,95.83,41.67,4.17,50.00,0.00,4.17,21.50,69.30,4.80,0.20,2.50
Jefferson County,1,100.00,100.00,0.00,0.00,0.00,0.00,85.10,14.00,0.50,0.20,0.00
Jefferson County,1,100.00,100.00,0.00,0.00,0.00,0.00,5.50,90.80,1.40,0.20,0.40
Jefferson County,9,100.00,42.86,0.00,57.14,0.00,0.00,34.30,42.50,18.90,1.00,3.90
Jefferson County,2,100.00,50.00,0.00,50.00,0.00,0.00,1.00,90.10,6.90,0.50,0.90
Jefferson County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.80,83.70,5.50,0.30,1.80
Jersey County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,96.30,1.30,0.30,0.50
Jessamine County,2,100.00,0.00,0.00,100.00,0.00,0.00,3.50,90.50,2.90,0.30,1.20
Jim Wells County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,18.70,79.70,1.10,0.60
Jo Daviess County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,94.80,3.10,0.20,0.50
Johnson County,1,100.00,0.00,0.00,0.00,0.00,100.00,2.10,81.10,13.50,1.20,1.20
Johnson County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,90.80,3.40,0.30,2.50
Johnson County,6,100.00,16.67,0.00,83.33,0.00,0.00,5.00,80.70,7.40,0.40,4.70
Johnson County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,97.50,0.70,0.20,0.40
Johnson County,1,100.00,0.00,0.00,0.00,0.00,0.00,4.90,86.00,4.00,0.70,2.00
Johnston County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.10,70.40,4.60,15.90,0.80
Jones County,1,100.00,0.00,0.00,100.00,0.00,0.00,31.10,62.10,4.40,0.70,0.50
Josephine County,6,83.33,0.00,0.00,100.00,0.00,0.00,0.60,87.60,7.00,1.50,1.00
Kalamazoo County,3,66.67,0.00,0.00,100.00,0.00,0.00,11.40,78.50,4.70,0.50,2.60
Kanabec County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.60,95.10,1.70,0.80,0.40
Kanawha County,10,88.89,11.11,0.00,88.89,0.00,0.00,7.60,88.00,1.10,0.20,1.20
Kane County,5,100.00,50.00,25.00,25.00,0.00,0.00,6.10,58.10,31.30,1.00,4.00
Kaufman County,3,100.00,0.00,0.00,100.00,0.00,0.00,10.70,67.50,19.40,1.00,1.00
Kay County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.30,75.70,7.20,10.40,0.60
Kendall County,3,66.67,33.33,33.33,33.33,0.00,0.00,1.10,74.40,22.40,0.70,1.00
Kennebec County,4,66.67,0.00,0.00,100.00,0.00,0.00,0.70,94.90,1.50,0.50,0.90
Kenosha County,2,100.00,0.00,0.00,100.00,0.00,0.00,7.30,76.80,12.60,0.70,1.60
Kent County,3,100.00,0.00,0.00,100.00,0.00,0.00,25.20,63.30,6.90,0.70,2.30
Kent County,1,100.00,100.00,0.00,0.00,0.00,0.00,15.10,78.50,4.30,0.30,1.00
Kent County,5,100.00,60.00,0.00,40.00,0.00,0.00,10.40,75.00,10.10,0.70,2.80
Kenton County,3,100.00,0.00,50.00,50.00,0.00,0.00,4.90,89.20,2.90,0.30,1.20
Kern County,42,84.62,13.51,62.16,24.32,0.00,0.00,6.30,36.20,51.50,2.60,5.00
Kerr County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.00,70.20,25.60,1.10,1.00
King George County,2,100.00,0.00,0.00,100.00,0.00,0.00,17.30,73.90,4.40,0.60,1.40
King County,48,91.11,33.33,14.29,38.10,2.38,9.52,6.70,62.40,9.40,1.10,16.40
Kings County,7,100.00,16.67,50.00,16.67,16.67,0.00,7.30,33.70,53.20,3.00,4.40
Kings County,6,100.00,83.33,0.00,16.67,0.00,0.00,35.20,35.80,19.50,1.00,12.10
Kiowa County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.70,91.40,6.30,0.90,0.00
Kitsap County,4,75.00,0.00,0.00,66.67,33.33,0.00,2.90,77.70,7.20,1.80,5.40
Kittitas County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.20,84.20,8.80,1.30,2.30
Klamath County,3,100.00,0.00,33.33,66.67,0.00,0.00,0.90,79.40,11.90,4.70,1.00
Knott County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.90,97.50,0.80,0.10,0.10
Knox County,1,0.00,0.00,0.00,100.00,0.00,0.00,3.10,92.90,1.80,0.30,0.80
Knox County,5,100.00,0.00,0.00,100.00,0.00,0.00,1.30,96.10,1.10,0.20,0.30
Knox County,7,80.00,28.57,14.29,57.14,0.00,0.00,9.00,83.00,3.90,0.40,2.20
Knox County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.10,59.30,33.60,1.30,0.20
Kootenai County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.40,91.10,4.30,1.40,0.90
La Crosse County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.50,90.40,1.70,0.50,4.60
La Paz County,5,80.00,0.00,50.00,25.00,25.00,0.00,1.20,59.30,25.70,17.80,0.90
La Plata County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,79.20,12.60,6.80,0.80
Labette County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.60,85.10,4.40,2.20,0.50
Lackawanna County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.30,87.50,6.20,0.30,2.30
Laclede County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,93.80,2.20,0.80,0.50
Lafayette Parish County,2,100.00,50.00,0.00,50.00,0.00,0.00,26.10,66.40,4.50,0.40,1.70
Lafayette County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.40,92.20,2.60,0.50,0.50
Lafayette County,3,100.00,0.00,0.00,100.00,0.00,0.00,23.70,70.20,2.30,0.30,2.60
Lafourche Parish County,1,0.00,0.00,0.00,100.00,0.00,0.00,13.70,76.70,4.60,2.90,0.90
Lake County,4,100.00,0.00,0.00,100.00,0.00,0.00,2.10,72.10,19.10,4.10,1.40
Lake County,9,100.00,11.11,11.11,77.78,0.00,0.00,10.60,72.40,13.80,0.60,2.20
Lake County,9,88.89,44.44,11.11,44.44,0.00,0.00,7.50,63.30,21.00,0.90,7.20
Lake County,11,100.00,90.00,0.00,10.00,0.00,0.00,25.30,54.70,18.10,0.50,1.50
Lake County,1,0.00,0.00,0.00,100.00,0.00,0.00,3.90,89.40,4.00,0.20,1.40
Lamar County,1,100.00,0.00,0.00,100.00,0.00,0.00,20.60,74.40,2.50,0.30,1.30
Lamar County,4,75.00,0.00,25.00,75.00,0.00,0.00,13.50,74.80,7.50,1.70,0.70
Lamb County,1,100.00,0.00,100.00,0.00,0.00,0.00,5.10,40.30,54.00,1.80,0.40
Lancaster County,6,100.00,16.67,0.00,83.33,0.00,0.00,3.90,82.80,6.60,0.90,4.10
Lancaster County,4,100.00,25.00,50.00,25.00,0.00,0.00,4.80,83.20,9.80,0.40,2.20
Lancaster County,1,100.00,0.00,0.00,100.00,0.00,0.00,22.70,70.20,5.00,0.40,0.90
Lane County,12,91.67,0.00,25.00,75.00,0.00,0.00,1.10,83.10,8.30,1.40,2.90
Langlade County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,94.80,1.90,1.30,0.40
Laramie County,2,100.00,0.00,0.00,50.00,50.00,0.00,3.40,78.70,14.30,1.30,1.30
Larimer County,9,88.89,0.00,12.50,75.00,0.00,12.50,1.10,83.50,11.10,1.00,2.20
Las Animas County,4,75.00,50.00,50.00,0.00,0.00,0.00,1.80,52.70,42.50,3.50,1.10
Latimer County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.20,67.30,3.40,21.20,0.40
Lauderdale County,1,100.00,0.00,0.00,100.00,0.00,0.00,10.40,84.70,2.40,0.50,0.90
Lauderdale County,4,100.00,0.00,0.00,100.00,0.00,0.00,42.90,53.20,2.20,0.30,0.80
Laurel County,3,66.67,0.00,0.00,100.00,0.00,0.00,0.80,96.00,1.40,0.30,0.60
Lawrence County,1,100.00,0.00,0.00,100.00,0.00,0.00,11.40,76.40,2.20,5.80,0.20
Lawrence County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,95.90,1.60,0.40,0.60
Lawrence County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,89.80,7.10,1.10,0.50
Lawrence County,2,100.00,0.00,50.00,50.00,0.00,0.00,4.10,92.50,1.20,0.10,0.50
Lawrence County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,91.30,3.20,2.30,0.70
Lawrence County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,94.10,1.90,0.40,0.50
Le Flore County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.30,72.20,6.60,13.30,0.60
Lea County,6,100.00,0.00,50.00,50.00,0.00,0.00,4.40,38.50,55.70,1.90,0.60
Leavenworth County,1,100.00,100.00,0.00,0.00,0.00,0.00,9.60,79.20,6.90,0.90,1.40
Lebanon County,2,100.00,0.00,0.00,100.00,0.00,0.00,3.30,84.30,11.40,0.30,1.30
Lee County,1,0.00,100.00,0.00,0.00,0.00,0.00,23.70,67.70,3.90,0.40,3.30
Lee County,8,100.00,28.57,14.29,57.14,0.00,0.00,9.10,69.20,19.60,0.50,1.70
Lee County,1,100.00,0.00,0.00,0.00,0.00,0.00,20.70,72.90,2.60,0.40,2.40
Lee County,2,100.00,50.00,0.00,50.00,0.00,0.00,3.10,91.00,3.40,0.30,0.60
Lee County,2,50.00,100.00,0.00,0.00,0.00,0.00,28.70,66.90,2.50,0.20,0.80
Lee County,2,100.00,0.00,100.00,0.00,0.00,0.00,20.10,58.30,19.50,1.40,1.10
Lee County,1,100.00,100.00,0.00,0.00,0.00,0.00,11.30,64.20,22.90,1.10,0.50
Lehigh County,4,100.00,0.00,0.00,100.00,0.00,0.00,8.40,68.10,21.50,0.80,3.50
Lenoir County,1,100.00,100.00,0.00,0.00,0.00,0.00,41.00,50.10,7.50,0.60,0.70
Leon County,8,75.00,57.14,0.00,42.86,0.00,0.00,31.60,57.50,6.10,0.30,3.30
Leon County,1,0.00,0.00,0.00,100.00,0.00,0.00,7.50,76.30,14.20,0.80,0.80
Lewis and Clark County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,91.60,3.00,2.20,0.70
Lewis County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.20,93.30,2.20,0.40,0.60
Lewis County,2,100.00,0.00,100.00,0.00,0.00,0.00,0.80,84.50,9.70,1.80,1.00
Lexington County,9,87.50,11.11,0.00,88.89,0.00,0.00,15.20,75.70,5.80,0.50,1.70
Lexington County,1,100.00,0.00,0.00,0.00,0.00,0.00,9.60,81.10,3.80,0.30,3.20
Limestone County,1,100.00,0.00,0.00,100.00,0.00,0.00,13.50,77.20,5.80,0.80,1.40
Lincoln Parish County,1,100.00,0.00,0.00,100.00,0.00,0.00,41.60,53.00,2.70,0.40,1.70
Lincoln County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.30,1.00,0.40,0.80
Lincoln County,2,100.00,0.00,0.00,100.00,0.00,0.00,31.00,66.90,1.10,0.20,0.40
Lincoln County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.80,85.20,7.20,0.40,0.60
Lincoln County,4,100.00,0.00,25.00,75.00,0.00,0.00,1.00,63.70,31.50,3.80,0.50
Lincoln County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,83.20,3.10,7.00,0.30
Lincoln County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,95.30,1.50,0.50,0.60
Linn County,3,100.00,66.67,0.00,33.33,0.00,0.00,4.50,88.10,2.90,0.30,2.20
Litchfield County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.80,89.90,5.50,0.30,1.80
Livingston Parish County,3,100.00,0.00,0.00,100.00,0.00,0.00,6.30,88.30,3.50,0.50,0.60
Livingston County,2,100.00,0.00,0.00,100.00,0.00,0.00,3.20,93.00,1.80,0.50,0.40
Livingston County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,90.90,3.40,0.40,1.40
Llano County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.30,87.10,9.80,0.90,0.60
Logan County,2,100.00,0.00,100.00,0.00,0.00,0.00,4.30,76.90,16.10,1.60,0.90
Logan County,1,100.00,100.00,0.00,0.00,0.00,0.00,8.10,86.60,3.40,0.30,0.80
Logan County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.70,88.40,2.80,0.40,0.30
Logan County,3,100.00,0.00,0.00,100.00,0.00,0.00,9.00,77.80,5.60,3.50,0.70
Long County,1,100.00,100.00,0.00,0.00,0.00,0.00,25.60,59.10,11.80,0.80,1.20
Lonoke County,5,100.00,0.00,0.00,100.00,0.00,0.00,6.20,86.80,4.00,0.70,0.90
Lorain County,1,100.00,100.00,0.00,0.00,0.00,0.00,8.90,79.20,9.20,0.40,1.20
Los Angeles County,244,92.86,24.24,53.25,16.88,0.00,5.19,9.20,26.80,48.40,1.50,14.80
Loudon County,4,75.00,0.00,0.00,75.00,0.00,25.00,1.60,88.60,7.90,0.50,0.80
Loudoun County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.80,58.80,13.40,0.50,17.30
Lowndes County,4,100.00,25.00,25.00,50.00,0.00,0.00,36.60,54.90,5.50,0.50,1.70
Lowndes County,4,100.00,50.00,0.00,50.00,0.00,0.00,44.00,52.50,1.90,0.20,0.70
Lubbock County,4,100.00,33.33,66.67,0.00,0.00,0.00,7.80,55.20,34.00,1.10,2.30
Lucas County,10,88.89,44.44,11.11,44.44,0.00,0.00,19.70,69.90,6.70,0.40,1.80
Lumpkin County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,90.50,4.90,0.70,0.70
Luna County,5,100.00,0.00,100.00,0.00,0.00,0.00,1.70,32.00,64.90,2.30,0.80
Luzerne County,3,100.00,0.00,0.00,100.00,0.00,0.00,4.90,85.10,9.10,0.40,1.20
Lycoming County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.70,90.90,2.00,0.20,0.60
Lynchburg County,1,100.00,0.00,0.00,100.00,0.00,0.00,28.50,63.10,3.30,0.50,3.10
Lynn County,1,0.00,0.00,100.00,0.00,0.00,0.00,2.50,48.80,47.70,1.90,0.30
Lyon County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.30,76.30,15.80,3.20,1.70
Mackinac County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,74.20,1.60,17.40,0.40
Macomb County,5,100.00,50.00,0.00,25.00,0.00,25.00,11.00,80.80,2.50,0.30,3.60
Macon County,1,100.00,0.00,0.00,100.00,0.00,0.00,81.50,16.20,1.50,0.20,0.30
Macon County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.80,89.70,6.60,0.70,0.80
Macoupin County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.10,96.30,1.00,0.30,0.40
Madera County,5,100.00,0.00,50.00,50.00,0.00,0.00,4.30,35.80,56.10,4.50,2.50
Madison County,12,100.00,33.33,8.33,58.33,0.00,0.00,24.60,65.50,4.70,0.80,2.60
Madison County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.70,89.40,7.00,0.50,1.10
Madison County,2,100.00,0.00,50.00,50.00,0.00,0.00,8.30,85.70,3.10,0.30,0.90
Madison County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.50,85.60,3.70,0.40,0.60
Madison County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.70,90.00,2.30,0.30,1.10
Madison County,1,0.00,0.00,0.00,100.00,0.00,0.00,38.30,55.90,2.80,0.40,2.40
Madison County,1,100.00,0.00,0.00,0.00,0.00,0.00,37.30,56.80,3.60,0.30,1.10
Magoffin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,97.90,0.80,0.30,0.10
Mahoning County,1,100.00,0.00,0.00,100.00,0.00,0.00,15.90,76.80,5.40,0.30,0.90
Malheur County,2,100.00,0.00,50.00,50.00,0.00,0.00,1.50,61.70,33.10,2.00,1.80
Manatee County,6,83.33,60.00,0.00,40.00,0.00,0.00,9.30,72.10,15.70,0.50,2.00
Manistee County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.30,89.40,3.00,2.20,0.40
Manitowoc County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,91.60,3.50,0.70,2.80
Marathon County,4,100.00,0.00,0.00,75.00,0.00,25.00,0.80,89.30,2.60,0.60,5.70
Marengo County,1,100.00,0.00,0.00,100.00,0.00,0.00,51.00,45.60,2.40,0.30,0.30
Maricopa County,173,93.04,12.34,41.56,42.86,3.25,0.00,5.70,57.00,30.30,2.80,4.10
Marin County,2,100.00,0.00,50.00,50.00,0.00,0.00,2.90,72.20,16.00,1.10,6.10
Marinette County,4,100.00,0.00,0.00,100.00,0.00,0.00,0.50,95.70,1.50,0.70,0.60
Marion County,1,100.00,0.00,0.00,0.00,0.00,0.00,4.20,91.70,2.50,0.30,0.30
Marion County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.40,94.60,2.30,0.90,0.30
Marion County,5,80.00,0.00,20.00,80.00,0.00,0.00,13.20,72.20,11.90,0.50,1.60
Marion County,21,85.00,70.00,0.00,30.00,0.00,0.00,27.80,57.90,9.80,0.50,2.60
Marion County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,93.30,3.20,0.80,0.30
Marion County,9,100.00,0.00,25.00,75.00,0.00,0.00,1.40,66.90,25.70,2.60,2.30
Marion County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.10,92.00,1.70,0.50,0.50
Marion County,2,0.00,0.00,0.00,100.00,0.00,0.00,3.50,93.00,1.20,0.30,0.60
Marshall County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.70,82.30,12.90,1.10,0.70
Marshall County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.90,86.00,5.00,0.40,0.60
Martin County,2,100.00,50.00,0.00,50.00,0.00,0.00,5.70,79.30,12.90,1.10,1.30
Martin County,1,100.00,0.00,0.00,100.00,0.00,0.00,7.20,88.50,3.20,0.40,0.20
Martin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,93.90,3.80,0.40,0.70
Martinsville County,1,100.00,100.00,0.00,0.00,0.00,0.00,45.10,47.60,4.80,0.40,1.00
Mason County,3,100.00,0.00,0.00,66.67,0.00,33.33,1.40,81.60,8.90,4.50,1.30
Massac County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.80,89.00,2.60,0.40,0.40
Matagorda County,2,100.00,100.00,0.00,0.00,0.00,0.00,11.50,45.70,40.40,1.30,2.20
Maui County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.90,31.30,11.00,0.60,28.70
Maury County,3,100.00,0.00,0.00,100.00,0.00,0.00,12.00,80.00,5.30,0.50,0.80
Mayes County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,65.80,3.20,21.70,0.40
McClain County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,79.80,7.50,6.70,0.50
McCracken County,2,100.00,0.00,0.00,100.00,0.00,0.00,10.90,83.60,2.40,0.30,1.00
